yr_cde,trm_cde,crs_comp1,crs_comp2,crs_comp3,crs_title,credit_hrs,crs_capacity,crs_enrollment,monday_cde,tuesday_cde,wednesday_cde,thursday_cde,friday_cde,begin_tim,end_tim,last_name,first_name,preferred_name,comment_txt
2018,30,CHEM,241,A,ORGANIC CHEMISTRY I,4,24,19,M,,W,,F,9:00:00 AM,9:50:00 AM,Homan,Timothy,,"CHEM 102, LAB FEE"
2018,30,CHEM,241,L,LABORATORY,0,12,11,,,W,,,2:00:00 PM,4:59:00 PM,Homan,Timothy,,LAB FEE
2018,30,CHEM,241,M,LABORATORY,0,12,8,,,,R,,2:00:00 PM,4:59:00 PM,Homan,Timothy,,LAB FEE
2018,30,CHEM,242,A,ORGANIC CHEMISTRY II,4,24,21,M,,W,,F,9:00:00 AM,9:50:00 AM,Cramer,Susan,,"CHEM 241, LAB FEE"
2018,30,CHEM,242,L,LABORATORY,0,10,11,M,,,,,2:00:00 PM,4:59:00 PM,Cramer,Susan,,CHEM/BIOCHEM MAJ LAB FEE
2018,30,CHEM,242,M,LABORATORY,0,10,10,,T,,,,2:00:00 PM,4:59:00 PM,Cramer,Susan,,CHEM/BIOCHEM MAJ LAB FEE
2018,30,CHEM,245,A,INTRODUCTION TO MOLECULAR MODELING,2,12,7,,,,R,,2:30:00 PM,4:30:00 PM,Falcetta,Michael,,"CHEM 241, MATH 161"
2018,30,CHEM,342,A,PHYSICAL CHEM OF BIOLOGICAL SYSTEMS,4,18,7,M,,W,,F,10:00:00 AM,10:50:00 AM,Falcetta,Michael,,CHEM 351 & MATH 162; LAB FEE
2018,30,CHEM,342,L,LABORATORY,0,18,7,,,W,,,2:00:00 PM,5:00:00 PM,Falcetta,Michael,,LAB FEE
2018,30,CHEM,346,A,MACROSCOPIC PHYSICAL CHEMISTRY:,4,16,3,M,,W,,F,11:00:00 AM,11:50:00 AM,Augspurger,Joseph,Joe,"CH 102 OR 105, MAT 261 LAB FEE"
2018,30,CHEM,346,L,LABORATORY,0,16,3,M,,,,,2:00:00 PM,4:59:00 PM,Augspurger,Joseph,Joe,LAB FEE
2018,30,CHEM,352,A,BIOCHEMISTRY II,4,16,13,M,,W,,F,9:00:00 AM,9:50:00 AM,Shaw,Kevin,,CHEM 351; LAB FEE
2018,30,CHEM,352,L,LABORATORY,0,16,13,M,,,,,1:00:00 PM,4:59:00 PM,Shaw,Kevin,,LAB FEE
2018,30,CHEM,406,A,INSTRUMENTAL ANALYSIS,4,12,4,,T,,R,,1:00:00 PM,1:50:00 PM,Falcetta,Michael,,CHEM 227; LAB FEE
2018,30,CHEM,406,L,LABORATORY,0,12,4,,T,,,F,2:00:00 PM,5:00:00 PM,Falcetta,Michael,,LAB FEE
2018,30,CHEM,453,A,ADVANCED MOLECULAR SPECTROSCOPY,2,12,7,,T,,R,,8:15:00 AM,9:05:00 AM,Guevara,Holly,,CHEM 242
2018,30,CHEM,458,A,ADVANCED SYNTHESIS LABORATORY,2,12,7,M,,W,,,1:00:00 PM,3:59:00 PM,Guevara,Holly,,LAB FEE CHEM 242
2018,30,CHEM,466,A,ADV ORGANIC CHEM,2,18,5,,T,,R,,10:05:00 AM,10:55:00 AM,Homan,Timothy,,CHEM 242
2018,30,CHEM,487,A,BIOCHEMISTRY SEMINAR,1,5,4,,,,,F,1:00:00 PM,1:50:00 PM,Shaw,Kevin,,SR STATUS - BIOC MAJORS ONLY
2018,30,CHEM,487,B,BIOCHEMISTRY SEMINAR,1,6,5,,,,,F,2:00:00 PM,2:50:00 PM,Shaw,Kevin,,SR STATUS - BIOC MAJORS ONLY
2018,30,CHIN,102,A,ELEMENTARY CHINESE II,3,8,4,M,,W,,F,9:00:00 AM,9:50:00 AM,Su,Shuhui,,CHIN 101
2018,30,CHIN,102,B,ELEMENTARY CHINESE II,3,8,7,M,,W,,F,10:00:00 AM,10:50:00 AM,Su,Shuhui,,CHIN 101
2018,30,CHIN,202,A,INTERMEDIATE CHINESE II,3,15,6,M,,W,,F,2:00:00 PM,2:50:00 PM,Su,Shuhui,,CHIN 201 OR INSTR OK
2018,30,CHIN,390,A,STUDY: ADVANCED CONVERSATION,3,15,6,,T,,R,,11:30:00 AM,12:45:00 PM,Su,Shuhui,,"CHIN 302, INSTRUCTOR OK"
2018,30,COMM,104,A,PUBLIC SPEAKING & RHETORIC,3,24,26,M,,W,,F,11:00:00 AM,11:50:00 AM,Pritchard,Patricia,Tricia,
2018,30,COMM,104,B,PUBLIC SPEAKING & RHETORIC,3,20,19,,T,,R,,10:05:00 AM,11:20:00 AM,Craig,Betsy,,
2018,30,COMM,110,A,PRINCIPLES OF MEDIA,3,24,29,,T,,,,6:30:00 PM,9:00:00 PM,Hammond,Ryan,,COMM MAJOR 1ST PREF
